Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C29, C9",0805@1,20,100nF,
C27,C1210,1,47uF,
"C28, C3, C4, C6",0805@1,4,1uF,
"C5, C7, C8",0805@1,3,2.2uF,
IC1,TQFP48,1,STM32F072C8T6,
IC2,SOT223,1,REG1117,
IC3,SOT23-5_86,1,74AHCT1G08DBV,
JP1,1X05_325,1,,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",REVERSE_MNT,15,WS2812B,
"R1, R17, R2, R4, R5, R7, R8, R9",0805,8,5.1K,
R3,0805,1,560K,
SD1,TF-PULL,1,TF-HOLDER,
"SW1, SW2",342_SWICH_FOOT_HOLE,2,324_SW324_SWITCH_FOOT_HOLE,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW5, SW6, SW7, SW8, SW9",KAILH_SWITCH_SOCKET_SWITCH_SOCKET,15,KAILH_SWITCH_SOCKET_KAILH_SWITCH_SOCKET,
"SW3, SW4",342_SWICH_FOOT,2,324_SW,
"TP1, TP2, TP3, TP5",TP11SQ_385,4,PTR1TP11SQ,
"TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP6, TP7, TP8, TP9",TP15R_385,15,TPTP15R,
TP4,TP09R_385,1,PTR1TP09R,
"U$10, U$11, U$12, U$13, U$14, U$15, U$16, U$17, U$23, U$7, U$8, U$9",M2_SCREW_FOOT,12,M2_SCREW_DEV,
U1,LUL_UG-2864HSWEG01_1.3_WRAPAROUND,1,UG-2864HSWEG01,
U2,USBC_16P_FOOT,1,USBC_16P,
