Designator,Mid X,Mid Y,Rotation,Layer
BT1,-35.0,-34.0,0.0,bottom
BT3,7.0,-34.0,0.0,bottom
C1,-8.977659,-33.191708,270.0,bottom
C11,-22.059892,-0.69997,0.0,bottom
C12,-22.059892,-2.49997,0.0,bottom
C13,-23.059892,-8.29997,90.0,bottom
C2,-21.577659,-38.441708,270.0,bottom
C3,-14.778,-23.8,0.0,bottom
C4,-17.377659,-26.091708,270.0,bottom
C5,-21.65,-14.9,180.0,bottom
C6,-11.577659,-30.591708,90.0,bottom
C7,7.322341,69.308292,0.0,bottom
C8,-22.059892,1.00003,0.0,bottom
C9,-12.0,-26.55,90.0,bottom
D1,-45.950159,-7.991708,270.0,bottom
D2,-15.443382,16.68904,240.0,top
D3,5.656933,13.93219,130.0,top
D4,-14.5,-22.0,0.0,bottom
D5,-20.677659,-51.391708,90.0,bottom
D6,-26.194266,-15.899765,180.0,bottom
L2,-11.677659,-36.691708,180.0,bottom
L3,-18.477659,-39.391708,0.0,bottom
LED1,19.212295,27.576654,320.0,top
LED2,-27.677659,58.708292,75.0,top
LED3,28.322341,80.508292,65.0,top
LED4,-43.677659,77.108292,180.0,bottom
LED5,-7.743382,37.689041,5.0,top
Q1,-14.677659,-11.091708,90.0,bottom
Q2,-44.377659,20.908292,90.0,bottom
Q3,-46.727659,-22.841708,90.0,bottom
R1,14.222341,-16.691708,180.0,bottom
R10,-12.577659,6.308292,270.0,bottom
R11,-13.877659,7.808292,90.0,bottom
R12,3.322341,72.678292,90.0,bottom
R13,-35.977659,70.418292,90.0,bottom
R14,-17.487659,6.608292,180.0,bottom
R15,-15.177659,6.608292,0.0,bottom
R16,-19.177659,-6.291708,270.0,bottom
R17,-20.277659,-55.191708,270.0,bottom
R18,-42.777659,70.418292,90.0,bottom
R2,-22.677659,-42.191708,270.0,bottom
R21,-22.859892,-4.59997,90.0,bottom
R3,-18.447659,-44.541708,180.0,bottom
R4,-14.177659,-26.491708,90.0,bottom
R5,8.2,-15.0,90.0,bottom
R7,-40.277659,-14.791708,270.0,bottom
R9,-7.077659,-55.891708,0.0,bottom
U1,22.422341,70.958292,180.0,bottom
U10,-38.670159,8.158292,0.0,bottom
U11,-19.307659,-30.091708,0.0,bottom
U2,-18.577659,-42.541708,0.0,bottom
U3,-40.150159,-20.491708,0.0,bottom
U4,-14.477659,-32.771708,270.0,bottom
U5,-37.077659,77.008292,180.0,bottom
U6,16.709841,5.098292,270.0,bottom
U7,0.3,-15.1375,180.0,bottom
U8,-7.177659,4.808292,250.0,top
U9,16.722341,33.608292,270.0,bottom
USB2,-13.527659,-49.291708,0.0,bottom
X2,-20.892659,-21.676708,0.0,bottom
